"中文","英译","备注"
"双十中学思明分校","Siming Branch of Shuangshi Middle School",
"双十中学镇海校区","Zhenhai Campus of  Shuangshi Middle School",
"水产交易市场","Aquatic Products Trading Market, the",
"顺承大厦","Shuncheng Building",
"思北路口","Siming N. Rd. Intersection",
"思明二实小","Siming No.2 Experimental Primary School",
"思明法院","Siming Court",
"思明交警","Siming Traffic Police Brigade",
"思明区政府","Government of Siming District",
"思明人武部","Siming Ministry of People's Armed Forces",
"思西","Siming W. Rd.",
"松柏","Songbai",
"松柏公园","Songbai Park",
"松柏汇成","Huicheng Building in Songbai",
"塔埔路口","Tapoo Intersection",
"塔埔社区","Tapoo Community",
"塔头","Tatou",
"台东路","Taitung Rd.",
"台贸中心","Taiwan Trade Center",
"台南路口","Tainan Intersection",
"太古宿舍","Swire Dormitory",
"太湖新城","Taihu New Civic Quarter",
"太薇花园","Taiwei Garden",
"太薇山庄","Taiwei Villa",
"泰和花园","Taihe Garden",
"塘边","Tangbian",
"塘边2","Stop 2 of Tangbian",
"特区纪念馆","Memorial Hall of the Special Economic Zone",
"体育路","Tiyu Rd.",
"体育中心","Sports Center",
"体育中心西","W. of Sports Center",
"天安工业","Tian'an Industries",
"天地花园","Tiandi Garden",
"天湖苑","Tianhu Yuann",
"田里","Tianli",
"外国语学校","Foreign Language School",
"外国语学校瑞景分校","Ruijing Branch of Foreign Language School",
"外贸新村","Waimao New Residential Quarter",
"万景花园","Wanjing Garden",
"万寿","Wanshou",
"万寿宾馆","Wanshou Hotel",
"万翔商务中心","Wanxiang Business Center",
"万翔物流园","Wanxiang Logistics Park",
"围里","Weili",
"围里村口","Weili Village Entrance",
"围里社区","Weili Community",
"文化艺术中心","Culture & Arts Center",
"文化艺术中心南","S. of Culture & Arts Center",
"文屏","Wenping",
"文屏山庄","Wenping Villa",
"文塔","Wenta",
"文兴东路","Wenxing E. Road",
"文园公寓","Wenyuan Apartment",
"文灶","Wenzao",
"卧龙西路口","Wolong W. Rd. Intersection",
"卧龙晓城","Wolong Xiaocheng",
"乌石浦小学","Wushipu Primary School",
"梧村车站","Wucun Bus Station",
"梧村公交场站","Wucun Bus Terminal",
"梧村小学","Wucun Primary School",
"梧桐","Wutong",
"五通灯塔公园","Wutong Lighthouse Park",
"五通东宅","Dongzhai, Wutong",
"五通二里","Lane 2 of Wutong",
"五通港三路口","Wutonggang 3rd Rd. Intersection",
"五通会展中心","Wutong Convention Center",
"五通客运码头","Wutong Ferry Terminal",
"五通泥金公交场站","BT of Nijin, Wutong",
"五通小区","Wutong Residential Quarter",
"五一广场","Wuyi Square",
"五缘大桥","Wuyuan Bridge",
"五缘第二实验学校","Wuyuan No.2 Experimental School",
"五缘东一里","E. 1st Lane of Wuyuan",
"五缘水乡","Wuyuan Waterside",
"五缘湾公交场站","BT of Wuyuan Bay",
"五缘湾商务区","Wuyuan Bay CBD",
"五缘湾西公交场站","W. BT of Wuyuan Bay",
"五缘湾消防","Wuyuan Bay Firehouse",
"五缘湾音乐岛","Wuyuan Bay Musical Island",
"五缘湾营运中心","Wuyuan Bay Operation Center",
"五缘湾运动馆","Wuyuan Bay Sports Hall",
"五缘西二里","W. 2nd Lane of Wuyuan",
"五缘西三里","W. 3rd Lane of Wuyuan",
"五缘西一里","W. 1st Lane of Wuyuan",
"五缘西一路口","Wuyuan W. 1st Rd. Intersection",
"五缘学村","Wuyuan School Village",
"西边社","Xibian Community",
"西堤","W. Seawall",
"西堤东路","Xidi E. Rd.",
"西堤南路","Xidi S. Rd.",
"西林","Xilin",
"西林东路","Xilin East Rd.",
"西林云顶","Yunding, Xilin",
"溪头下公交场站","Xitouxia Bus Terminal",
"霞溪路","Xiaxi Rd.",
"下湖路口","Xiahu Intersection",
"下忠","Xiazhong",
